policy_name,policy_label,seed,scenario,scenario_label,agent_id,policy_class_name,score,infrastructure,production_sites,advanced_sites,innovation
learned_q,Learned Q policy,500004,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,12,7,3,0,5
learned_q,Learned Q policy,500004,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,33,10,1,3,9
learned_q,Learned Q policy,500004,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,27,7,0,3,5
learned_q,Learned Q policy,500005,need_based,Need-based,0,NeedBasedTradePolicy,17,4,1,1,6
learned_q,Learned Q policy,500005,need_based,Need-based,1,NeedBasedTradePolicy,30,9,1,3,3
learned_q,Learned Q policy,500005,need_based,Need-based,2,NeedBasedTradePolicy,11,5,0,1,5
learned_q,Learned Q policy,500005,need_based,Need-based,3,NeedBasedTradePolicy,41,15,1,4,3
learned_q,Learned Q policy,500005,need_based,Need-based,4,NeedBasedTradePolicy,22,8,1,2,3
learned_q,Learned Q policy,500005,cooperative,Cooperative,0,CooperativeTradePolicy,17,13,2,1,0
learned_q,Learned Q policy,500005,cooperative,Cooperative,1,CooperativeTradePolicy,25,11,0,3,1
learned_q,Learned Q policy,500005,cooperative,Cooperative,2,CooperativeTradePolicy,3,4,0,0,5
learned_q,Learned Q policy,500005,cooperative,Cooperative,3,CooperativeTradePolicy,25,6,1,2,7
learned_q,Learned Q policy,500005,cooperative,Cooperative,4,CooperativeTradePolicy,11,7,0,1,4
learned_q,Learned Q policy,500005,hoarding,Hoarding,0,HoardingTradePolicy,31,14,1,3,1
learned_q,Learned Q policy,500005,hoarding,Hoarding,1,HoardingTradePolicy,35,11,0,4,5
learned_q,Learned Q policy,500005,hoarding,Hoarding,2,HoardingTradePolicy,9,4,2,0,4
learned_q,Learned Q policy,500005,hoarding,Hoarding,3,HoardingTradePolicy,22,5,0,2,8
learned_q,Learned Q policy,500005,hoarding,Hoarding,4,HoardingTradePolicy,11,7,0,1,7
learned_q,Learned Q policy,500005,mixed,Mixed,0,CompetitiveTradePolicy,23,10,2,1,7
learned_q,Learned Q policy,500005,mixed,Mixed,1,FairnessSensitiveTradePolicy,33,10,0,4,1
learned_q,Learned Q policy,500005,mixed,Mixed,2,CooperativeTradePolicy,3,5,0,0,6
learned_q,Learned Q policy,500005,mixed,Mixed,3,SelfishTradePolicy,22,8,1,2,5
learned_q,Learned Q policy,500005,mixed,Mixed,4,HoardingTradePolicy,11,5,0,1,6
learned_q,Learned Q policy,500005,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,11,8,0,1,3
learned_q,Learned Q policy,500005,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,22,8,1,2,6
learned_q,Learned Q policy,500005,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,3,6,0,0,5
learned_q,Learned Q policy,500005,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,22,7,0,2,7
learned_q,Learned Q policy,500005,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,14,8,0,1,3
learned_q,Learned Q policy,500005,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,15,10,1,1,1
learned_q,Learned Q policy,500005,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,25,8,2,2,5
learned_q,Learned Q policy,500005,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,3,4,0,0,5
learned_q,Learned Q policy,500005,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,22,7,0,2,10
learned_q,Learned Q policy,500005,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,17,7,2,1,3
learned_q,Learned Q policy,500006,need_based,Need-based,0,NeedBasedTradePolicy,31,14,2,3,1
learned_q,Learned Q policy,500006,need_based,Need-based,1,NeedBasedTradePolicy,39,15,2,3,5
learned_q,Learned Q policy,500006,need_based,Need-based,2,NeedBasedTradePolicy,29,8,1,3,2
learned_q,Learned Q policy,500006,need_based,Need-based,3,NeedBasedTradePolicy,33,11,2,3,5
learned_q,Learned Q policy,500006,need_based,Need-based,4,NeedBasedTradePolicy,27,8,0,3,5
learned_q,Learned Q policy,500006,cooperative,Cooperative,0,CooperativeTradePolicy,19,6,0,2,4
learned_q,Learned Q policy,500006,cooperative,Cooperative,1,CooperativeTradePolicy,45,15,4,3,5
learned_q,Learned Q policy,500006,cooperative,Cooperative,2,CooperativeTradePolicy,20,11,1,2,1
learned_q,Learned Q policy,500006,cooperative,Cooperative,3,CooperativeTradePolicy,32,12,2,3,2
learned_q,Learned Q policy,500006,cooperative,Cooperative,4,CooperativeTradePolicy,27,8,0,3,3
learned_q,Learned Q policy,500006,hoarding,Hoarding,0,HoardingTradePolicy,14,9,2,1,0
learned_q,Learned Q policy,500006,hoarding,Hoarding,1,HoardingTradePolicy,32,14,1,3,2
