seed,sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,final_idle_infrastructure,cumulative_trades_executed
52,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,92,9,18,15,53
53,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,137,19,18,20,68
54,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,123,14,32,14,66
55,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,91,11,14,13,67
56,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,140,6,33,7,65
57,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,143,22,20,8,50
58,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,129,11,31,11,88
59,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,179,19,35,9,79
60,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,127,11,36,7,69
61,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,117,6,46,10,77
62,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,115,4,40,13,57
63,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,137,14,30,4,92
64,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,143,14,27,14,69
65,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,135,17,22,1,75
66,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,144,11,41,8,88
67,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,120,14,28,10,68
68,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,115,12,20,2,40
69,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,108,3,41,16,64
70,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,102,14,16,10,47
71,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,156,14,30,8,60
72,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,136,14,32,16,69
73,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,127,17,19,12,51
74,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,127,19,14,8,87
75,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,105,15,14,12,56
76,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,118,11,25,12,85
77,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,116,14,22,8,45
78,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,146,11,32,12,74
79,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,92,3,44,26,70
80,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,98,6,30,22,56
81,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,145,19,22,3,66
