population,condition,seed,min_agent_score,mean_agent_score,score_sd,bottom_two_mean_score,score_gini
competitive,bilateral_trade,106,7,19.2,14.372195378577345,8.0,0.3833333333333333
competitive,bilateral_trade,107,3,10.2,6.11228271597445,3.0,0.32156862745098036
competitive,bilateral_trade,108,14,31.6,10.799999999999999,19.5,0.18734177215189884
competitive,bilateral_trade,109,9,21.6,7.631513611335565,13.0,0.19259259259259265
competitive,bilateral_trade,110,12,23.4,10.799999999999999,13.0,0.252991452991453
competitive,bilateral_trade,111,11,23.6,8.662563131083086,14.0,0.20677966101694922
competitive,bilateral_trade,112,6,16.6,9.28654941299512,8.5,0.30361445783132535
competitive,bilateral_trade,113,9,23.4,19.06410239166796,11.5,0.37264957264957266
competitive,bilateral_trade,114,6,9.2,3.0594117081556713,6.0,0.18260869565217397
competitive,bilateral_trade,115,6,16.2,10.322790320451153,8.5,0.3111111111111111
competitive,bilateral_trade,116,6,20.0,13.16054710108968,8.5,0.3480000000000001
competitive,bilateral_trade,117,9,15.4,3.6110940170535577,11.5,0.12467532467532472
competitive,bilateral_trade,118,3,16.8,12.905812643921342,7.0,0.3904761904761904
competitive,bilateral_trade,119,6,19.4,8.754427451295715,11.0,0.24742268041237114
competitive,bilateral_trade,120,6,19.6,9.728309205612248,11.5,0.26530612244897966
competitive,bilateral_trade,121,14,24.4,7.761443164772902,18.0,0.1672131147540985
competitive,bilateral_trade,122,6,13.2,4.621688003316537,8.5,0.19393939393939408
competitive,bilateral_trade,123,6,22.6,13.440238093129155,10.0,0.3221238938053097
competitive,bilateral_trade,124,3,11.4,6.945502141674135,4.5,0.33684210526315783
competitive,bilateral_trade,125,6,14.0,7.6681158050723255,7.5,0.29142857142857137
competitive,bilateral_trade,126,11,16.6,5.885575587824865,12.5,0.16867469879518082
competitive,bilateral_trade,127,6,17.0,6.870225614927067,10.0,0.22588235294117642
competitive,bilateral_trade,128,8,14.6,7.144228439796701,8.5,0.24657534246575352
competitive,bilateral_trade,129,9,17.0,9.85900603509299,10.0,0.2823529411764707
competitive,bilateral_trade,130,6,21.4,12.09297316626478,10.0,0.31401869158878504
competitive,bilateral_trade,131,6,17.2,6.939740629158989,10.5,0.22325581395348837
competitive,bilateral_trade,132,6,22.0,14.546477236774544,8.5,0.3527272727272728
competitive,bilateral_trade,133,6,25.4,13.734627770711516,10.0,0.30236220472440944
competitive,bilateral_trade,134,5,12.8,6.764613810115105,7.0,0.28125
competitive,bilateral_trade,135,6,14.8,8.084553172563094,7.5,0.29729729729729737
competitive,bilateral_trade,136,3,17.0,10.353743284435827,8.0,0.32000000000000006
competitive,bilateral_trade,137,3,13.8,10.264501936285074,5.5,0.3826086956521739
competitive,bilateral_trade,138,7,18.8,9.826494797230598,10.5,0.2808510638297872
competitive,bilateral_trade,139,6,14.6,8.499411744350311,7.5,0.3068493150684932
competitive,bilateral_trade,140,12,19.8,8.908422980528035,12.0,0.2343434343434343
competitive,bilateral_trade,141,3,14.8,8.49470423263812,7.0,0.31351351351351364
competitive,bilateral_trade,142,11,16.8,8.908422980528034,11.0,0.24761904761904763
competitive,bilateral_trade,143,6,13.2,9.867117106835208,6.0,0.36969696969696964
competitive,bilateral_trade,144,0,22.0,24.22395508582362,0.5,0.5672727272727274
competitive,bilateral_trade,145,2,15.6,13.99428454762872,4.0,0.45128205128205123
competitive,bilateral_trade,146,8,21.2,9.346657156438338,10.0,0.23396226415094334
competitive,bilateral_trade,147,3,16.4,16.40243884305014,4.5,0.4975609756097561
competitive,bilateral_trade,148,6,15.4,7.418894796396563,8.5,0.264935064935065
competitive,bilateral_trade,149,6,20.2,10.740577265678043,9.5,0.28910891089108914
competitive,bilateral_trade,150,6,23.0,13.6088206689632,10.0,0.3234782608695652
competitive,bilateral_trade,151,12,23.2,13.377593206552515,13.0,0.2827586206896553
competitive,bilateral_trade,152,9,19.4,9.562426470305537,10.5,0.268041237113402
competitive,bilateral_trade,153,6,19.0,8.0,10.0,0.2315789473684211
competitive,bilateral_trade,154,9,19.4,7.863841300534999,11.5,0.22268041237113412
