population,population_label,condition,condition_label,mean_final_total_score,sd_final_total_score,ci95_low_final_total_score,ci95_high_final_total_score,mean_final_score_gap,sd_final_score_gap,ci95_low_final_score_gap,ci95_high_final_score_gap,mean_cumulative_trades_executed,sd_cumulative_trades_executed,ci95_low_cumulative_trades_executed,ci95_high_cumulative_trades_executed,mean_final_idle_infrastructure,sd_final_idle_infrastructure,ci95_low_final_idle_infrastructure,ci95_high_final_idle_infrastructure,mean_final_total_infrastructure,sd_final_total_infrastructure,ci95_low_final_total_infrastructure,ci95_high_final_total_infrastructure,mean_final_total_production_sites,sd_final_total_production_sites,ci95_low_final_total_production_sites,ci95_high_final_total_production_sites,mean_final_total_advanced_sites,sd_final_total_advanced_sites,ci95_low_final_total_advanced_sites,ci95_high_final_total_advanced_sites,mean_final_total_innovation,sd_final_total_innovation,ci95_low_final_total_innovation,ci95_high_final_total_innovation,institution_family,institution_family_label
fairness_sensitive,Fairness-sensitive,equity_weighted_central,Equity central,144.605,24.374155828701213,141.2063070885625,148.00369291143747,15.075,5.894326971950343,14.253104569526341,15.896895430473657,52.44,8.057357198556213,51.316495129180765,53.56350487081923,8.395,4.174458710735826,7.81292022136168,8.97707977863832,46.915,5.6832447912072155,46.122537527798386,47.70746247220161,5.85,2.913751833760678,5.443711151570246,6.256288848429754,13.41,3.5967461565382757,12.908475526603786,13.911524473396215,20.61,4.296533603386004,20.010898295546873,21.209101704453126,central_matching,Central matching
fairness_sensitive,Fairness-sensitive,no_trade,No trade,29.455,9.389825296323535,28.14569793027775,30.76430206972225,10.875,6.607394593679335,9.953675572338584,11.796324427661416,0.0,0.0,0.0,0.0,15.6,4.908202548928332,14.915608165953413,16.284391834046584,21.9,5.82319051196966,21.088023722582562,22.711976277417435,2.715,2.0505606538151646,2.4290731351857624,3.0009268648142373,0.435,0.7672799964581525,0.32801171686202946,0.5419882831379705,15.565,3.447491987666559,15.084287286785832,16.045712713214165,baseline,Baseline
fairness_sensitive,Fairness-sensitive,public_pool,Public pool,136.645,12.096304307078558,134.9583108694313,138.33168913056872,10.59,4.12516483605481,10.014793679611191,11.165206320388808,51.255,2.963763565529782,50.8417375964881,51.6682624035119,4.71,2.193159763615892,4.404189345689089,5.015810654310911,36.5,3.4232430478749416,36.02266851977535,36.97733148022465,1.785,1.1642820808631782,1.6226543875835957,1.9473456124164041,14.11,1.703646694682176,13.872446257195413,14.347553742804585,13.98,2.1147008769551734,13.685129526091934,14.274870473908067,contribution_pool,Contribution-dependent pool
fairness_sensitive,Fairness-sensitive,subsidized_catch_up,Subsidized,74.265,17.312811505098047,71.85092953319256,76.67907046680745,15.665,6.420192313843385,14.769778755806959,16.560221244193038,18.19,3.662097045938207,17.679363104162547,18.700636895837455,12.48,5.0325173775933365,11.778273907079399,13.181726092920602,35.01,5.429298889558467,34.25294733406564,35.76705266593436,6.945,2.6829023135627965,6.57090043572102,7.3190995642789805,4.32,2.0441361163854896,4.0349689623058875,4.605031037694113,18.605,3.531477262887511,18.112576515690225,19.097423484309775,redistributive_support,Redistributive support
hoarding,Hoarding,bilateral_trade,Bilateral,90.08,21.795384694238574,87.0408867694554,93.1191132305446,27.76,10.451245988568438,26.302695143714043,29.21730485628596,14.44,3.4212460629302264,13.96294697612984,14.917053023870158,13.685,6.467217291655464,12.78322166887137,14.586778331128631,39.115,5.967396762458736,38.2829158359847,39.9470841640153,6.275,2.846027823451361,5.878154478157228,6.671845521842773,6.44,2.670591751186904,6.0676170006505625,6.812382999349438,25.125,4.191325691863659,24.540568316762425,25.709431683237575,decentralized_bargaining,Decentralized bargaining
hoarding,Hoarding,bilateral_trade_3pass,Bilateral 3-pass,96.06,24.46320999411321,92.64888951960765,99.47111048039235,28.105,10.61543273071341,26.624801209638875,29.585198790361126,15.665,3.681104133027339,15.151712786645465,16.178287213354533,12.815,6.316666556175777,11.934214220206584,13.695785779793415,39.665,5.695168983335234,38.87087483771201,40.45912516228799,6.225,2.8715158044272315,5.824600475266693,6.625399524733306,7.2,3.0058569292960353,6.780868165847858,7.619131834152142,24.775,3.7849709411203705,24.2472297667255,25.302770233274497,decentralized_bargaining,Decentralized bargaining
hoarding,Hoarding,bottleneck_priority_bilateral_trade,Bottleneck,89.205,21.668191609781168,86.18362236766718,92.22637763233281,27.765,10.333619572412019,26.32409678115323,29.20590321884677,14.31,3.336097681227797,13.844819928914186,14.775180071085815,13.48,6.2300616643584315,12.611290266408309,14.348709733591692,38.78,5.589077647047283,38.00066804224967,39.55933195775033,6.37,2.5643673487816603,6.012428759712645,6.7275712402873555,6.28,2.7014978164457797,5.903307508840713,6.656692491159287,25.41,4.1567164273361765,24.830394176695638,25.989605823304363,decentralized_bargaining,Decentralized bargaining
hoarding,Hoarding,catch_up_bilateral_trade,Catch-up,89.72,21.81078060853781,86.67873998803816,92.76126001196184,27.675,10.302430556761085,26.23844572710863,29.11155427289137,14.55,3.2835052969617515,14.092153326011374,15.007846673988627,13.385,6.243531325867233,12.514412078568238,14.255587921431761,38.835,5.965375387818267,38.00319769319896,39.66680230680104,6.375,2.603510386316577,6.011970717795747,6.738029282204253,6.35,2.732183032046537,5.969028811950402,6.7309711880495975,25.145,4.245479416672154,24.553017208862396,25.736982791137603,decentralized_bargaining,Decentralized bargaining
hoarding,Hoarding,central_clearing,Central clearing,158.665,22.64146538486123,155.50791064482846,161.82208935517153,17.66,6.1402699104244896,16.80381068351508,18.51618931648492,52.065,8.047645493555846,50.942849313636415,53.18715068636358,7.525,3.6172916657320955,7.0206106939938016,8.0293893060062,49.725,5.524670571592766,48.954648860799125,50.49535113920088,5.82,2.768741527886127,5.433931154352082,6.206068845647919,15.28,3.3836140768571004,14.808194319472065,15.751805680527934,18.39,4.5054852108207655,17.761762420974936,19.018237579025065,central_matching,Central matching
hoarding,Hoarding,central_clearing_capped,Central capped (2),126.855,18.31340709417515,124.30140810074946,129.40859189925055,22.085,7.228348366017127,21.077090781496732,23.09290921850327,34.365,2.9809740069565795,33.94933780033963,34.78066219966038,8.495,4.0424848072794815,7.931322449251092,9.058677550748905,44.045,5.655341673783837,43.25642829341342,44.83357170658658,7.025,2.417352470125967,6.687928276884624,7.362071723115377,10.75,2.4856371335734013,10.403406773729818,11.096593226270182,22.865,4.6166374894009925,22.22126352682017,23.508736473179827,central_matching,Central matching
