build_mode_development,build_mode_label_development,population,population_label,condition,condition_label,final_total_score_development,final_score_gap_development,cumulative_trades_executed_development,final_idle_infrastructure_development,final_total_infrastructure_development,final_total_production_sites_development,final_total_advanced_sites_development,final_total_innovation_development,build_mode_crown,build_mode_label_crown,final_total_score_crown,final_score_gap_crown,cumulative_trades_executed_crown,final_idle_infrastructure_crown,final_total_infrastructure_crown,final_total_production_sites_crown,final_total_advanced_sites_crown,final_total_innovation_crown,build_mode_comparison,build_mode_from,build_mode_to,delta_final_total_score,delta_final_score_gap,delta_cumulative_trades_executed,delta_final_idle_infrastructure,delta_final_total_infrastructure,delta_final_total_production_sites,delta_final_total_advanced_sites,delta_final_total_innovation,pct_change_final_total_score,pct_change_final_score_gap,pct_change_cumulative_trades_executed
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,subsidized_catch_up,Subsidized,74.265,15.665,18.19,12.48,35.01,6.945,4.32,18.605,crown_aware,Crown-aware,73.855,15.625,17.96,12.46,34.84,6.905,4.285,18.7,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.4099999999999966,-0.03999999999999915,-0.23000000000000043,-0.019999999999999574,-0.1699999999999946,-0.040000000000000036,-0.03500000000000014,0.09499999999999886,-0.5520770214771381,-0.25534631343759434,-1.264431006047281
development_oriented,Development-oriented,hoarding,Hoarding,bilateral_trade,Bilateral,90.08,27.76,14.44,13.685,39.115,6.275,6.44,25.125,crown_aware,Crown-aware,89.02,28.01,14.035,13.95,39.07,6.22,6.34,25.41,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.0600000000000023,0.25,-0.40499999999999936,0.2649999999999988,-0.045000000000001705,-0.055000000000000604,-0.10000000000000053,0.28500000000000014,-1.176731793960926,0.9005763688760806,-2.804709141274234
development_oriented,Development-oriented,hoarding,Hoarding,bilateral_trade_3pass,Bilateral 3-pass,96.06,28.105,15.665,12.815,39.665,6.225,7.2,24.775,crown_aware,Crown-aware,94.265,27.66,15.03,13.065,39.515,6.24,6.985,24.88,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.7950000000000017,-0.4450000000000003,-0.6349999999999998,0.25,-0.14999999999999858,0.015000000000000568,-0.21499999999999986,0.10500000000000043,-1.8686237768061646,-1.5833481586906255,-4.053622725821895
development_oriented,Development-oriented,hoarding,Hoarding,bottleneck_priority_bilateral_trade,Bottleneck,89.205,27.765,14.31,13.48,38.78,6.37,6.28,25.41,crown_aware,Crown-aware,87.54,27.755,14.065,14.06,38.85,6.285,6.11,25.51,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.664999999999992,-0.010000000000001563,-0.245000000000001,0.5800000000000001,0.07000000000000028,-0.08499999999999996,-0.16999999999999993,0.10000000000000142,-1.8664873045232802,-0.036016567621111335,-1.7120894479385114
development_oriented,Development-oriented,hoarding,Hoarding,catch_up_bilateral_trade,Catch-up,89.72,27.675,14.55,13.385,38.835,6.375,6.35,25.145,crown_aware,Crown-aware,88.855,27.64,14.235,13.54,38.7,6.31,6.27,25.38,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.8649999999999949,-0.03500000000000014,-0.3150000000000013,0.15499999999999936,-0.134999999999998,-0.06500000000000039,-0.08000000000000007,0.23499999999999943,-0.9641105662059685,-0.12646793134598064,-2.164948453608256
development_oriented,Development-oriented,hoarding,Hoarding,central_clearing,Central clearing,158.665,17.66,52.065,7.525,49.725,5.82,15.28,18.39,crown_aware,Crown-aware,154.915,18.7,50.835,7.905,49.085,5.75,14.84,19.14,crown_aware_minus_development_oriented,development_oriented,crown_aware,-3.75,1.0399999999999991,-1.2299999999999969,0.3799999999999999,-0.6400000000000006,-0.07000000000000028,-0.4399999999999995,0.75,-2.363470204518955,5.8890147225368015,-2.362431575914716
development_oriented,Development-oriented,hoarding,Hoarding,central_clearing_capped,Central capped (2),126.855,22.085,34.365,8.495,44.045,7.025,10.75,22.865,crown_aware,Crown-aware,125.235,21.775,34.24,8.805,43.715,6.84,10.615,23.415,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.6200000000000045,-0.3100000000000023,-0.125,0.3100000000000005,-0.3299999999999983,-0.1850000000000005,-0.1349999999999998,0.5500000000000007,-1.2770485987939022,-1.4036676477247103,-0.3637421795431398
development_oriented,Development-oriented,hoarding,Hoarding,clearinghouse_bargaining,Clearinghouse,91.24,27.78,15.28,13.405,39.185,6.345,6.545,25.045,crown_aware,Crown-aware,91.015,27.39,15.2,13.325,39.085,6.365,6.515,25.23,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.22499999999999432,-0.39000000000000057,-0.08000000000000007,-0.08000000000000007,-0.10000000000000142,0.020000000000000462,-0.03000000000000025,0.18499999999999872,-0.24660236738272065,-1.4038876889848833,-0.5235602094240842
development_oriented,Development-oriented,hoarding,Hoarding,equity_weighted_central,Equity central,156.475,15.755,52.49,7.685,49.615,6.06,14.905,19.3,crown_aware,Crown-aware,153.245,16.17,51.115,7.895,49.135,6.165,14.455,20.145,crown_aware_minus_development_oriented,development_oriented,crown_aware,-3.2299999999999898,0.4150000000000009,-1.375,0.20999999999999996,-0.480000000000004,0.10500000000000043,-0.4499999999999993,0.8449999999999989,-2.064227512382163,2.6340844176451976,-2.6195465803010096
development_oriented,Development-oriented,hoarding,Hoarding,no_trade,No trade,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565,crown_aware,Crown-aware,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
development_oriented,Development-oriented,hoarding,Hoarding,public_pool,Public pool,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565,crown_aware,Crown-aware,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
development_oriented,Development-oriented,hoarding,Hoarding,subsidized_catch_up,Subsidized,80.925,16.165,16.67,11.47,36.64,7.59,4.995,17.02,crown_aware,Crown-aware,80.715,16.185,16.495,11.445,36.525,7.56,4.98,17.05,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.20999999999999375,0.019999999999999574,-0.1750000000000007,-0.025000000000000355,-0.11500000000000199,-0.03000000000000025,-0.01499999999999968,0.030000000000001137,-0.2594995366079626,0.12372409526755072,-1.0497900419916057
development_oriented,Development-oriented,mixed,Mixed,bilateral_trade,Bilateral,103.175,27.23,28.03,12.39,41.65,6.79,7.84,25.455,crown_aware,Crown-aware,102.71,26.96,27.595,12.945,41.875,6.62,7.845,25.245,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.4650000000000034,-0.2699999999999996,-0.4350000000000023,0.5549999999999997,0.22500000000000142,-0.16999999999999993,0.004999999999999893,-0.2099999999999973,-0.45069057426702536,-0.9915534337128151,-1.5519086692829192
development_oriented,Development-oriented,mixed,Mixed,bilateral_trade_3pass,Bilateral 3-pass,110.93,26.59,34.795,11.515,42.575,6.68,8.85,24.275,crown_aware,Crown-aware,110.615,26.95,34.59,11.415,42.425,6.695,8.81,24.2,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.31500000000001194,0.35999999999999943,-0.2049999999999983,-0.10000000000000142,-0.15000000000000568,0.015000000000000568,-0.03999999999999915,-0.07499999999999929,-0.283962859460932,1.3538924407672035,-0.5891651099295827
development_oriented,Development-oriented,mixed,Mixed,bottleneck_priority_bilateral_trade,Bottleneck,102.885,27.785,27.675,12.53,41.47,6.565,7.905,24.98,crown_aware,Crown-aware,102.18,27.44,27.43,12.43,41.16,6.54,7.825,25.235,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.7049999999999983,-0.34499999999999886,-0.245000000000001,-0.09999999999999964,-0.3100000000000023,-0.025000000000000355,-0.08000000000000007,0.254999999999999,-0.6852310832482852,-1.2416771639373723,-0.8852755194218644
development_oriented,Development-oriented,mixed,Mixed,catch_up_bilateral_trade,Catch-up,102.12,29.235,27.675,13.365,41.705,6.27,7.9,25.135,crown_aware,Crown-aware,100.26,29.075,26.995,12.95,41.16,6.53,7.575,25.215,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.8599999999999994,-0.16000000000000014,-0.6799999999999997,-0.4150000000000009,-0.5450000000000017,0.2600000000000007,-0.3250000000000002,0.0799999999999983,-1.821386603995299,-0.5472892081409275,-2.4570912375790415
development_oriented,Development-oriented,mixed,Mixed,central_clearing,Central clearing,147.225,17.17,52.07,8.525,47.785,5.855,13.775,19.385,crown_aware,Crown-aware,145.565,17.27,51.72,8.525,47.295,5.77,13.615,20.07,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.6599999999999966,0.09999999999999787,-0.3500000000000014,0.0,-0.4899999999999949,-0.08500000000000085,-0.16000000000000014,0.6849999999999987,-1.127525895737814,0.5824111822946876,-0.6721720760514719
development_oriented,Development-oriented,mixed,Mixed,central_clearing_capped,Central capped (2),120.03,21.715,35.585,9.53,42.62,6.47,10.075,23.62,crown_aware,Crown-aware,119.31,22.105,35.47,9.35,42.36,6.54,9.965,23.815,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.7199999999999989,0.39000000000000057,-0.11500000000000199,-0.17999999999999972,-0.259999999999998,0.07000000000000028,-0.10999999999999943,0.19500000000000028,-0.5998500374906264,1.795993552843659,-0.32316987494731486
development_oriented,Development-oriented,mixed,Mixed,clearinghouse_bargaining,Clearinghouse,103.14,26.68,28.565,12.275,41.015,6.41,7.96,25.1,crown_aware,Crown-aware,101.87,26.145,28.085,12.965,41.355,6.35,7.845,24.94,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.269999999999996,-0.5350000000000001,-0.4800000000000004,0.6899999999999995,0.3399999999999963,-0.0600000000000005,-0.11500000000000021,-0.16000000000000014,-1.2313360480899709,-2.0052473763118446,-1.6803780850691419
