build_mode,build_mode_label,population,population_label,condition,condition_label,final_total_score,final_score_gap,cumulative_trades_executed,final_idle_infrastructure,final_total_infrastructure,final_total_production_sites,final_total_advanced_sites,final_total_innovation
development_oriented,Development-oriented,hoarding,Hoarding,bottleneck_priority_bilateral_trade,Bottleneck,89.205,27.765,14.31,13.48,38.78,6.37,6.28,25.41
development_oriented,Development-oriented,hoarding,Hoarding,catch_up_bilateral_trade,Catch-up,89.72,27.675,14.55,13.385,38.835,6.375,6.35,25.145
development_oriented,Development-oriented,hoarding,Hoarding,central_clearing,Central clearing,158.665,17.66,52.065,7.525,49.725,5.82,15.28,18.39
development_oriented,Development-oriented,hoarding,Hoarding,central_clearing_capped,Central capped (2),126.855,22.085,34.365,8.495,44.045,7.025,10.75,22.865
development_oriented,Development-oriented,hoarding,Hoarding,clearinghouse_bargaining,Clearinghouse,91.24,27.78,15.28,13.405,39.185,6.345,6.545,25.045
development_oriented,Development-oriented,hoarding,Hoarding,equity_weighted_central,Equity central,156.475,15.755,52.49,7.685,49.615,6.06,14.905,19.3
development_oriented,Development-oriented,hoarding,Hoarding,no_trade,No trade,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565
development_oriented,Development-oriented,hoarding,Hoarding,public_pool,Public pool,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565
development_oriented,Development-oriented,hoarding,Hoarding,subsidized_catch_up,Subsidized,80.925,16.165,16.67,11.47,36.64,7.59,4.995,17.02
development_oriented,Development-oriented,mixed,Mixed,bilateral_trade,Bilateral,103.175,27.23,28.03,12.39,41.65,6.79,7.84,25.455
development_oriented,Development-oriented,mixed,Mixed,bilateral_trade_3pass,Bilateral 3-pass,110.93,26.59,34.795,11.515,42.575,6.68,8.85,24.275
development_oriented,Development-oriented,mixed,Mixed,bottleneck_priority_bilateral_trade,Bottleneck,102.885,27.785,27.675,12.53,41.47,6.565,7.905,24.98
development_oriented,Development-oriented,mixed,Mixed,catch_up_bilateral_trade,Catch-up,102.12,29.235,27.675,13.365,41.705,6.27,7.9,25.135
development_oriented,Development-oriented,mixed,Mixed,central_clearing,Central clearing,147.225,17.17,52.07,8.525,47.785,5.855,13.775,19.385
development_oriented,Development-oriented,mixed,Mixed,central_clearing_capped,Central capped (2),120.03,21.715,35.585,9.53,42.62,6.47,10.075,23.62
development_oriented,Development-oriented,mixed,Mixed,clearinghouse_bargaining,Clearinghouse,103.14,26.68,28.565,12.275,41.015,6.41,7.96,25.1
development_oriented,Development-oriented,mixed,Mixed,equity_weighted_central,Equity central,143.915,14.73,52.235,8.52,47.52,6.355,13.145,20.79
development_oriented,Development-oriented,mixed,Mixed,no_trade,No trade,29.395,10.805,0.0,15.63,21.9,2.705,0.43,15.585
development_oriented,Development-oriented,mixed,Mixed,public_pool,Public pool,108.62,29.735,39.665,7.995,35.885,4.325,9.62,18.125
development_oriented,Development-oriented,mixed,Mixed,subsidized_catch_up,Subsidized,75.355,15.685,18.025,12.12,35.29,7.23,4.355,18.54
development_oriented,Development-oriented,need_based,Need-based,bilateral_trade,Bilateral,126.145,26.68,34.235,10.79,45.58,6.575,10.82,22.795
development_oriented,Development-oriented,need_based,Need-based,bilateral_trade_3pass,Bilateral 3-pass,139.685,27.01,41.625,10.175,47.835,6.075,12.755,20.655
development_oriented,Development-oriented,need_based,Need-based,bottleneck_priority_bilateral_trade,Bottleneck,129.55,28.08,34.73,10.74,46.19,6.41,11.315,22.085
development_oriented,Development-oriented,need_based,Need-based,catch_up_bilateral_trade,Catch-up,127.045,28.65,34.7,10.77,45.45,6.27,11.07,22.11
development_oriented,Development-oriented,need_based,Need-based,central_clearing,Central clearing,159.32,18.215,52.925,7.83,49.75,5.44,15.52,18.135
development_oriented,Development-oriented,need_based,Need-based,central_clearing_capped,Central capped (2),125.955,22.42,34.465,8.98,43.88,6.7,10.75,23.005
development_oriented,Development-oriented,need_based,Need-based,clearinghouse_bargaining,Clearinghouse,128.67,27.415,35.64,10.435,45.425,6.18,11.315,21.94
development_oriented,Development-oriented,need_based,Need-based,equity_weighted_central,Equity central,157.21,15.52,52.915,7.885,49.775,5.875,15.07,19.155
development_oriented,Development-oriented,need_based,Need-based,no_trade,No trade,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565
development_oriented,Development-oriented,need_based,Need-based,public_pool,Public pool,146.06,10.54,49.89,5.135,39.915,1.75,15.64,11.325
development_oriented,Development-oriented,need_based,Need-based,subsidized_catch_up,Subsidized,79.775,16.195,16.28,12.1,36.7,7.345,4.955,16.725
development_oriented,Development-oriented,selfish,Selfish,bilateral_trade,Bilateral,97.115,26.585,24.665,12.5,40.31,6.88,7.025,26.335
development_oriented,Development-oriented,selfish,Selfish,bilateral_trade_3pass,Bilateral 3-pass,104.555,26.99,28.785,12.22,42.07,7.02,7.905,26.19
development_oriented,Development-oriented,selfish,Selfish,bottleneck_priority_bilateral_trade,Bottleneck,100.145,26.85,25.01,12.71,40.91,6.61,7.49,26.2
development_oriented,Development-oriented,selfish,Selfish,catch_up_bilateral_trade,Catch-up,99.115,27.16,24.755,12.935,41.075,6.74,7.33,26.27
development_oriented,Development-oriented,selfish,Selfish,central_clearing,Central clearing,144.97,17.185,51.86,8.605,47.175,5.845,13.44,20.155
development_oriented,Development-oriented,selfish,Selfish,central_clearing_capped,Central capped (2),118.605,21.855,35.405,9.255,42.275,6.735,9.775,24.205
development_oriented,Development-oriented,selfish,Selfish,clearinghouse_bargaining,Clearinghouse,99.57,26.83,26.27,11.625,40.305,7.09,7.25,26.07
development_oriented,Development-oriented,selfish,Selfish,equity_weighted_central,Equity central,140.69,14.8,52.43,9.105,47.155,6.315,12.71,21.67
development_oriented,Development-oriented,selfish,Selfish,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
development_oriented,Development-oriented,selfish,Selfish,public_pool,Public pool,138.35,10.13,52.9,5.47,37.57,1.745,14.305,15.7
development_oriented,Development-oriented,selfish,Selfish,subsidized_catch_up,Subsidized,73.605,15.36,18.475,12.095,34.475,6.99,4.2,18.89
