q_state_key,action,training_state_visits,training_action_updates
"3,2,1,1,2,1,0",central_cap2,2351,47
"3,2,1,1,2,1,0",equity_cap2,2351,45
"3,2,1,1,2,1,0",central_full,2351,0
"3,1,1,1,2,1,1",bilateral_3pass,603,564
"3,1,1,1,2,1,1",clearinghouse,603,39
"3,1,1,1,2,1,1",public_pool,603,0
"3,1,1,1,2,1,1",subsidized_catch_up,603,0
"3,1,1,1,2,1,1",central_cap2,603,0
"3,1,1,1,2,1,1",equity_cap2,603,0
"3,1,1,1,2,1,1",central_full,603,0
"3,1,1,2,2,1,0",bilateral_3pass,387,387
"3,1,1,2,2,1,0",clearinghouse,387,0
"3,1,1,2,2,1,0",public_pool,387,0
"3,1,1,2,2,1,0",subsidized_catch_up,387,0
"3,1,1,2,2,1,0",central_cap2,387,0
"3,1,1,2,2,1,0",equity_cap2,387,0
"3,1,1,2,2,1,0",central_full,387,0
"3,2,1,2,2,1,0",bilateral_3pass,1124,847
"3,2,1,2,2,1,0",clearinghouse,1124,107
"3,2,1,2,2,1,0",public_pool,1124,28
"3,2,1,2,2,1,0",subsidized_catch_up,1124,96
"3,2,1,2,2,1,0",central_cap2,1124,23
"3,2,1,2,2,1,0",equity_cap2,1124,23
"3,2,1,2,2,1,0",central_full,1124,0
"3,1,1,1,2,1,3",bilateral_3pass,404,382
"3,1,1,1,2,1,3",clearinghouse,404,0
"3,1,1,1,2,1,3",public_pool,404,0
"3,1,1,1,2,1,3",subsidized_catch_up,404,22
"3,1,1,1,2,1,3",central_cap2,404,0
"3,1,1,1,2,1,3",equity_cap2,404,0
"3,1,1,1,2,1,3",central_full,404,0
"0,3,1,1,0,0,4",bilateral_3pass,129,11
"0,3,1,1,0,0,4",clearinghouse,129,12
"0,3,1,1,0,0,4",public_pool,129,14
"0,3,1,1,0,0,4",subsidized_catch_up,129,9
"0,3,1,1,0,0,4",central_cap2,129,64
"0,3,1,1,0,0,4",equity_cap2,129,11
"0,3,1,1,0,0,4",central_full,129,8
"0,2,0,2,0,0,3",bilateral_3pass,131,109
"0,2,0,2,0,0,3",clearinghouse,131,5
"0,2,0,2,0,0,3",public_pool,131,4
"0,2,0,2,0,0,3",subsidized_catch_up,131,6
"0,2,0,2,0,0,3",central_cap2,131,2
"0,2,0,2,0,0,3",equity_cap2,131,5
"0,2,0,2,0,0,3",central_full,131,0
"0,2,2,3,0,1,1",bilateral_3pass,20,13
"0,2,2,3,0,1,1",clearinghouse,20,3
"0,2,2,3,0,1,1",public_pool,20,1
"0,2,2,3,0,1,1",subsidized_catch_up,20,3
"0,2,2,3,0,1,1",central_cap2,20,0
"0,2,2,3,0,1,1",equity_cap2,20,0
"0,2,2,3,0,1,1",central_full,20,0
"0,1,1,2,0,1,1",bilateral_3pass,337,319
"0,1,1,2,0,1,1",clearinghouse,337,18
"0,1,1,2,0,1,1",public_pool,337,0
"0,1,1,2,0,1,1",subsidized_catch_up,337,0
"0,1,1,2,0,1,1",central_cap2,337,0
"0,1,1,2,0,1,1",equity_cap2,337,0
"0,1,1,2,0,1,1",central_full,337,0
"1,2,1,3,0,1,0",bilateral_3pass,2891,2238
