baseline_policy,scenario,metric,n_pairs,target_policy,mean_learned_minus_baseline,mean_target_minus_baseline,ci95_low,ci95_high,seed_clustered_ci95_low,seed_clustered_ci95_high,share_target_higher,share_learned_higher
permanent_bilateral_3pass,need_based,final_mean_score,100,learned_q,-0.562,-0.562,-1.67065,0.5819999999999997,-1.67065,0.5819999999999997,0.47,0.47
permanent_bilateral_3pass,need_based,final_min_score,100,learned_q,1.4,1.4,-0.13024999999999998,2.870499999999997,-0.13024999999999998,2.870499999999997,0.59,0.59
permanent_bilateral_3pass,need_based,bottom_two_mean_score,100,learned_q,0.805,0.805,-0.53,2.1452499999999985,-0.53,2.1452499999999985,0.56,0.56
permanent_bilateral_3pass,need_based,final_score_gap,100,learned_q,-3.39,-3.39,-5.66,-1.1495000000000026,-5.66,-1.1495000000000026,0.33,0.33
permanent_bilateral_3pass,need_based,gini_score,100,learned_q,-0.01977866895795438,-0.01977866895795438,-0.03739076885411072,-0.0023956505844033096,-0.03739076885411072,-0.0023956505844033096,0.38,0.38
permanent_bilateral_3pass,need_based,final_welfare,100,learned_q,-0.0715000000000002,-0.0715000000000002,-1.2489999999999997,1.1070999999999989,-1.2489999999999997,1.1070999999999989,0.49,0.49
permanent_bilateral_3pass,need_based,cumulative_capacity_cost,100,learned_q,24.51,24.51,24.24,24.75,24.24,24.75,1.0,1.0
permanent_bilateral_3pass,cooperative,final_total_score,100,learned_q,-1.77,-1.77,-6.4815000000000005,3.26,-6.4815000000000005,3.26,0.5,0.5
permanent_bilateral_3pass,cooperative,final_mean_score,100,learned_q,-0.35399999999999976,-0.35399999999999976,-1.3440499999999997,0.6101999999999987,-1.3440499999999997,0.6101999999999987,0.5,0.5
permanent_bilateral_3pass,cooperative,final_min_score,100,learned_q,1.27,1.27,-0.13024999999999998,2.6602499999999987,-0.13024999999999998,2.6602499999999987,0.52,0.52
permanent_bilateral_3pass,cooperative,bottom_two_mean_score,100,learned_q,0.445,0.445,-0.745,1.5651249999999992,-0.745,1.5651249999999992,0.52,0.52
permanent_bilateral_3pass,cooperative,final_score_gap,100,learned_q,-3.11,-3.11,-5.22075,-1.0,-5.22075,-1.0,0.38,0.38
permanent_bilateral_3pass,cooperative,gini_score,100,learned_q,-0.021623382964376648,-0.021623382964376648,-0.03893767893136085,-0.0035570370940789294,-0.03893767893136085,-0.0035570370940789294,0.41,0.41
permanent_bilateral_3pass,cooperative,final_welfare,100,learned_q,0.052000000000000296,0.052000000000000296,-0.9271124999999992,1.0215875,-0.9271124999999992,1.0215875,0.54,0.54
permanent_bilateral_3pass,cooperative,cumulative_capacity_cost,100,learned_q,24.38,24.38,24.08,24.68,24.08,24.68,1.0,1.0
permanent_bilateral_3pass,hoarding,final_total_score,100,learned_q,10.02,10.02,5.56975,14.460999999999995,5.56975,14.460999999999995,0.63,0.63
permanent_bilateral_3pass,hoarding,final_mean_score,100,learned_q,2.004,2.004,1.1060000000000003,2.8661499999999993,1.1060000000000003,2.8661499999999993,0.63,0.63
permanent_bilateral_3pass,hoarding,final_min_score,100,learned_q,2.77,2.77,1.77975,3.7702499999999985,1.77975,3.7702499999999985,0.61,0.61
permanent_bilateral_3pass,hoarding,bottom_two_mean_score,100,learned_q,2.61,2.61,1.72,3.5351249999999994,1.72,3.5351249999999994,0.64,0.64
