branch_state_id,base_game_id,seed,scenario,round,continuation_policy,comparison,selection_best_action,selection_second_action,q_chosen_action,mean_difference,ci95_low,ci95_high,ci_excludes_zero,paired_eval_replications,q_equals_selection_best
7,3,700002,need_based,3,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,clearinghouse,subsidized_catch_up,1.8499999999999943,1.8499999999999943,1.8499999999999943,1,20,0
7,3,700002,need_based,3,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,clearinghouse,subsidized_catch_up,11.8,11.799999999999997,11.799999999999997,1,20,0
7,3,700002,need_based,3,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,clearinghouse,subsidized_catch_up,0.0,0.0,0.0,0,20,0
7,3,700002,need_based,3,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,clearinghouse,subsidized_catch_up,-11.8,-11.799999999999997,-11.799999999999997,1,20,0
7,3,700002,need_based,3,random_feasible,selected_best_minus_selected_second,clearinghouse,bilateral_3pass,subsidized_catch_up,4.2875,-4.972500000000003,14.971249999999998,0,20,0
7,3,700002,need_based,3,random_feasible,selected_best_minus_q_chosen,clearinghouse,bilateral_3pass,subsidized_catch_up,8.812499999999998,-1.2775000000000034,16.311249999999994,0,20,0
7,3,700002,need_based,3,random_feasible,selected_best_minus_bilateral,clearinghouse,bilateral_3pass,subsidized_catch_up,4.2875,-4.972500000000003,14.971249999999998,0,20,0
7,3,700002,need_based,3,random_feasible,q_chosen_minus_bilateral,clearinghouse,bilateral_3pass,subsidized_catch_up,-4.524999999999999,-11.105000000000002,11.027500000000002,0,20,0
8,3,700002,need_based,10,learned_q,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,learned_q,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,learned_q,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,learned_q,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,random_feasible,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,random_feasible,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,random_feasible,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
8,3,700002,need_based,10,random_feasible,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
9,3,700002,need_based,16,learned_q,selected_best_minus_selected_second,clearinghouse,bilateral_3pass,bilateral_3pass,1.1000000000000014,1.1000000000000014,1.1000000000000014,1,20,0
9,3,700002,need_based,16,learned_q,selected_best_minus_q_chosen,clearinghouse,bilateral_3pass,bilateral_3pass,1.1000000000000014,1.1000000000000014,1.1000000000000014,1,20,0
9,3,700002,need_based,16,learned_q,selected_best_minus_bilateral,clearinghouse,bilateral_3pass,bilateral_3pass,1.1000000000000014,1.1000000000000014,1.1000000000000014,1,20,0
9,3,700002,need_based,16,learned_q,q_chosen_minus_bilateral,clearinghouse,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,0
9,3,700002,need_based,16,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,central_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,1
9,3,700002,need_based,16,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,central_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,1
9,3,700002,need_based,16,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,central_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,1
